
Data downloaded from OMNIWeb and processed by omniweb_read.py

No AlphaRatio was considered

#TIMEDELAY
0.0

#START
 2011 08 05 02 54 00 000    4.55    -2.79    -3.53  -411.30    -17.90    -44.80    3.92     81267.0
 2011 08 05 02 55 00 000    4.63    -2.82    -3.39  -411.20    -18.30    -44.80    3.93     81760.0
 2011 08 05 02 56 00 000    4.59    -3.17    -3.35  -410.10    -25.30    -44.30    4.13     90657.0
 2011 08 05 02 57 00 000    4.69    -2.82    -3.44  -410.10    -25.30    -44.30    4.13     90657.0
 2011 08 05 02 58 00 000    5.32    -1.83    -2.98  -416.90    -42.20    -49.40    4.45    118088.0
 2011 08 05 02 59 00 000    5.16    -2.02    -3.06  -416.90    -42.20    -49.40    4.45    117978.0
 2011 08 05 03 00 00 000    5.13    -2.01    -3.11  -416.40    -37.30    -43.20    4.08     94904.0
 2011 08 05 03 01 00 000    5.09    -1.97    -3.07  -414.40    -34.20    -37.40    4.05     97429.0
 2011 08 05 03 02 00 000    5.00    -1.96    -3.09  -417.70    -37.80    -40.80    3.96     96800.0
 2011 08 05 03 03 00 000    4.91    -1.98    -2.90  -417.70    -37.80    -40.80    3.96     96800.0
 2011 08 05 03 04 00 000    4.38    -2.01    -3.62  -410.20    -36.70    -33.30    4.55    120939.0
 2011 08 05 03 05 00 000    4.88    -2.27    -2.30  -410.30    -36.50    -33.30    4.55    120689.0
 2011 08 05 03 06 00 000    4.74    -2.03    -3.22  -414.20    -27.30    -34.40    4.47    105598.0
 2011 08 05 03 07 00 000    4.77    -2.03    -3.23  -415.40    -28.20    -33.40    4.32     93949.0
 2011 08 05 03 08 00 000    4.87    -2.13    -2.91  -415.70    -29.30    -32.90    4.25     89673.0
 2011 08 05 03 09 00 000    4.95    -2.20    -2.70  -416.90    -31.90    -31.70    4.42    100760.0
 2011 08 05 03 10 00 000    4.93    -2.08    -2.71  -415.30    -28.80    -32.00    4.46    102677.0
 2011 08 05 03 11 00 000    5.02    -1.87    -2.56  -412.40    -22.80    -32.60    4.54    106316.0
 2011 08 05 03 12 00 000    5.12    -1.53    -2.75  -413.50    -22.10    -29.40    4.53    105442.0
 2011 08 05 03 13 00 000    5.20    -1.66    -2.57  -415.00    -21.90    -26.50    4.42     98751.0
 2011 08 05 03 14 00 000    5.40    -1.70    -2.45  -412.50    -27.60    -34.80    4.06     75494.0
 2011 08 05 03 15 00 000    5.45    -1.49    -2.31  -410.00    -33.50    -39.80    3.67     50565.0
 2011 08 05 03 16 00 000    5.24    -1.71    -2.61  -415.70    -25.10    -35.00    4.14     69668.0
 2011 08 05 03 17 00 000    5.13    -1.64    -2.75  -413.60    -23.60    -41.50    3.57     57374.0
 2011 08 05 03 18 00 000    5.15    -1.35    -2.96  -415.80    -30.40    -37.70    3.91     72094.0
 2011 08 05 03 19 00 000    5.29    -1.46    -2.99  -415.70    -30.60    -38.30    3.87     71284.0
 2011 08 05 03 20 00 000    5.39    -1.28    -2.85  -413.10    -24.80    -44.80    3.32     53350.0
 2011 08 05 03 21 00 000    5.26    -1.76    -2.88  -412.50    -23.00    -46.40    3.30     50775.0
 2011 08 05 03 22 00 000    5.22    -1.76    -2.82  -412.50    -23.00    -46.40    3.30     50775.0
 2011 08 05 03 23 00 000    5.38    -1.64    -2.70  -417.30    -25.00    -31.00    3.80     68506.0
 2011 08 05 03 24 00 000    5.75    -1.21    -2.48  -416.30    -26.80    -32.20    3.69     65113.0
 2011 08 05 03 25 00 000    5.74    -1.30    -2.60  -410.10    -37.90    -40.00    3.05     43955.0
 2011 08 05 03 26 00 000    5.59    -1.20    -2.94  -411.00    -38.20    -39.10    3.10     43206.0
 2011 08 05 03 27 00 000    5.59    -1.05    -2.88  -411.00    -38.20    -39.10    3.10     43194.0
 2011 08 05 03 28 00 000    5.55    -1.07    -2.87  -411.00    -38.20    -39.10    3.10     43194.0
 2011 08 05 03 29 00 000    5.45    -0.99    -2.87  -419.20    -24.80    -26.80    3.76     64771.0
 2011 08 05 03 30 00 000    5.42    -0.95    -2.87  -419.20    -24.80    -26.80    3.76     64771.0
 2011 08 05 03 31 00 000    5.32    -0.97    -3.04  -419.20    -24.80    -26.80    3.76     64771.0
 2011 08 05 03 32 00 000    5.23    -1.03    -3.25  -411.20    -36.70    -37.40    3.19     50007.0
 2011 08 05 03 33 00 000    5.15    -0.85    -2.05  -413.40    -37.60    -35.80    3.38     49234.0
 2011 08 05 03 34 00 000    5.11    -0.32    -2.37  -425.20    -42.20    -27.40    4.39     45123.0
 2011 08 05 03 35 00 000    5.07    -0.95    -2.17  -421.40    -42.00    -15.40    5.99     41497.0
 2011 08 05 03 36 00 000    5.00    -1.75    -2.17  -418.50    -36.20    -19.20    5.48     58697.0
 2011 08 05 03 37 00 000    4.98    -1.54    -1.83  -417.50    -38.10    -25.60    4.46     74574.0
 2011 08 05 03 38 00 000    4.92    -1.96    -1.78  -424.20    -46.60    -29.10    4.40     48969.0
 2011 08 05 03 39 00 000    4.88    -1.64    -1.99  -412.90    -32.60    -20.40    6.37     43130.0
 2011 08 05 03 40 00 000    4.87    -1.85    -1.94  -413.20    -32.30    -21.00    6.17     44933.0
 2011 08 05 03 41 00 000    4.93    -2.11    -1.64  -415.20    -30.30    -27.10    4.50     60219.0
 2011 08 05 03 42 00 000    5.19    -1.52    -1.36  -412.80    -38.10    -32.40    6.48     48860.0
 2011 08 05 03 43 00 000    5.01    -1.88    -1.55  -414.40    -41.60    -30.50    6.61     45977.0
 2011 08 05 03 44 00 000    4.87    -2.22    -1.65  -420.00    -42.00    -22.70    5.88     52200.0
 2011 08 05 03 45 00 000    4.90    -2.37    -1.31  -415.80    -34.60    -27.30    5.19     42823.0
 2011 08 05 03 46 00 000    4.77    -2.37    -1.68  -413.50    -24.60    -27.20    5.06     48756.0
 2011 08 05 03 47 00 000    4.76    -2.23    -0.83  -413.40    -23.30    -30.10    5.57     53501.0
 2011 08 05 03 48 00 000    4.89    -1.95    -1.15  -411.70    -28.10    -35.20    6.50     42849.0
 2011 08 05 03 49 00 000    3.99    -3.56    -1.57  -410.20    -22.70    -37.60    6.35     42317.0
 2011 08 05 03 50 00 000    4.14    -3.42    -1.40  -406.90    -14.30    -41.60    5.95     47060.0
 2011 08 05 03 51 00 000    4.36    -3.21    -1.13  -406.90    -14.30    -41.60    5.95     47060.0
 2011 08 05 03 52 00 000    4.46    -2.98    -1.06  -406.90    -14.30    -41.60    5.95     47060.0
 2011 08 05 03 53 00 000    4.92    -1.65    -1.47  -409.80    -27.30    -35.50    6.52     49141.0
 2011 08 05 03 54 00 000    4.84    -1.43    -1.78  -409.80    -27.30    -35.50    6.52     49141.0
 2011 08 05 03 55 00 000    4.59    -2.06    -1.73  -409.80    -27.30    -35.50    6.52     49141.0
 2011 08 05 03 56 00 000    4.44    -2.29    -1.48  -416.80    -32.00    -19.40    6.19     60336.0
 2011 08 05 03 57 00 000    4.44    -2.21    -1.55  -416.80    -32.00    -19.40    6.19     60336.0
 2011 08 05 03 59 00 000    3.96    -2.71    -0.84  -414.50    -31.40    -24.90    6.96     41815.0
 2011 08 05 04 00 00 000    3.74    -3.38    -0.15  -413.40    -30.10    -25.80    6.76     41375.0
 2011 08 05 04 01 00 000    3.59    -3.63     0.18  -407.60    -21.80    -32.60    5.65     48550.0
 2011 08 05 04 02 00 000    3.41    -3.86     0.45  -407.60    -20.10    -37.20    5.44     57004.0
 2011 08 05 04 03 00 000    3.05    -4.09     0.80  -409.10    -12.10    -38.50    5.70     57695.0
 2011 08 05 04 04 00 000    3.08    -4.03     0.61  -409.10    -12.10    -38.50    5.70     57695.0
 2011 08 05 04 05 00 000    2.85    -3.99     0.83  -409.10    -12.10    -38.50    5.70     57695.0
 2011 08 05 04 06 00 000    2.90    -4.04     0.81  -409.10    -12.10    -38.50    5.70     57695.0
 2011 08 05 04 07 00 000    2.78    -3.86     0.86  -406.90    -28.80    -40.90    4.51     38817.0
 2011 08 05 04 08 00 000    2.84    -3.81     0.39  -406.90    -28.80    -40.90    4.51     38817.0
